Flight_ID,Delay_Code,DelayCode_ID,DATOP_UTC,FLIGHT_NO,STD_UTC,ATD_UTC,STA_UTC,ATA_UTC,Delay_Minutes,Controllable
90937,FFU,267,15/1/2018,UO1181,2018-01-15T01:20:00,2018-01-15T01:21:00,2018-01-15T05:20:00,2018-01-15T05:35:00,1,1
91035,GFO,178,15/1/2018,UO1204,2018-01-15T07:55:00,2018-01-15T08:26:00,2018-01-15T13:20:00,2018-01-15T13:51:00,31,1
91065,CDE,214,15/1/2018,UO1345,2018-01-15T01:50:00,2018-01-15T01:56:00,2018-01-15T05:25:00,2018-01-15T05:20:00,6,1
91096,FRD,239,15/1/2018,UO1585,2018-01-15T13:00:00,2018-01-15T13:01:00,2018-01-15T15:45:00,2018-01-15T15:41:00,1,1
91199,PHA,284,15/1/2018,UO1703,2018-01-15T03:00:00,2018-01-15T03:13:00,2018-01-15T06:10:00,2018-01-15T06:20:00,13,1
91351,SGK,309,15/1/2018,UO1980,2018-01-15T10:00:00,2018-01-15T10:04:00,2018-01-15T15:25:00,2018-01-15T15:08:00,4,1
91386,FLM,235,15/1/2018,UO1997,2018-01-15T02:35:00,2018-01-15T03:01:00,2018-01-15T06:00:00,2018-01-15T06:31:00,26,1
91391,GLS,183,15/1/2018,UO1998,2018-01-15T06:55:00,2018-01-15T07:11:00,2018-01-15T10:45:00,2018-01-15T11:04:00,16,1
91405,FSL,250,15/1/2018,UO2177,2018-01-15T06:55:00,2018-01-15T07:41:00,2018-01-15T10:30:00,2018-01-15T11:12:00,46,1
91479,DGK,257,15/1/2018,UO2183,2018-01-15T00:25:00,2018-01-15T00:29:00,2018-01-15T03:30:00,2018-01-15T03:17:00,4,1
91709,FPK,268,15/1/2018,UO3214,2018-01-15T10:55:00,2018-01-15T11:11:00,2018-01-15T14:50:00,2018-01-15T14:39:00,16,1
91555,RCA,301,15/1/2018,UO3346,2018-01-15T08:30:00,2018-01-15T08:38:00,2018-01-15T13:05:00,2018-01-15T12:58:00,8,1
91586,FTW,255,15/1/2018,UO3385,2018-01-15T07:45:00,2018-01-15T09:01:00,2018-01-15T09:40:00,2018-01-15T10:40:00,76,1
91661,GFO,178,15/1/2018,UO4231,2018-01-15T04:15:00,2018-01-15T04:21:00,2018-01-15T07:50:00,2018-01-15T08:00:00,6,1
91692,FAB,224,15/1/2018,UO4232,2018-01-15T08:40:00,2018-01-15T08:53:00,2018-01-15T13:10:00,2018-01-15T13:03:00,13,1
89751,PDO,275,16/1/2018,UO375,2018-01-16T13:30:00,2018-01-16T13:49:00,2018-01-16T18:25:00,2018-01-16T18:37:00,19,1
89791,FRB,238,16/1/2018,UO389,2018-01-16T06:50:00,2018-01-16T07:01:00,2018-01-16T10:30:00,2018-01-16T10:28:00,11,1
89901,PEK,287,16/1/2018,UO516,2018-01-16T06:15:00,2018-01-16T06:21:00,2018-01-16T07:50:00,2018-01-16T07:52:00,6,1
89929,RAG,296,16/1/2018,UO559,2018-01-16T12:30:00,2018-01-16T12:31:00,2018-01-16T14:45:00,2018-01-16T14:52:00,1,1
89974,GFS,175,16/1/2018,UO560,2018-01-16T00:40:00,2018-01-16T00:59:00,2018-01-16T02:45:00,2018-01-16T03:12:00,19,1
89995,FRL,244,16/1/2018,UO729,2018-01-16T00:30:00,2018-01-16T00:40:00,2018-01-16T03:45:00,2018-01-16T03:42:00,10,1
90485,FSL,250,16/1/2018,UO959,2018-01-16T07:50:00,2018-01-16T08:06:00,2018-01-16T12:05:00,2018-01-16T11:31:00,16,1
90609,PEK,287,16/1/2018,UO1006,2018-01-16T01:15:00,2018-01-16T01:53:00,2018-01-16T04:40:00,2018-01-16T05:08:00,38,1
90626,FRG,241,16/1/2018,UO1007,2018-01-16T05:30:00,2018-01-16T05:46:00,2018-01-16T09:15:00,2018-01-16T09:25:00,16,1
90653,FLM,235,16/1/2018,UO1019,2018-01-16T01:15:00,2018-01-16T01:45:00,2018-01-16T04:50:00,2018-01-16T05:13:00,30,1
90679,PHO,283,16/1/2018,UO1020,2018-01-16T05:35:00,2018-01-16T05:52:00,2018-01-16T09:55:00,2018-01-16T10:03:00,17,1
90728,CPO,221,16/1/2018,UO1039,2018-01-16T01:10:00,2018-01-16T01:29:00,2018-01-16T03:25:00,2018-01-16T04:03:00,19,1
90879,RAO,298,16/1/2018,UO1097,2018-01-16T18:05:00,2018-01-16T18:31:00,2018-01-16T21:25:00,2018-01-16T21:37:00,26,1
90867,PHC,278,16/1/2018,UO1098,2018-01-16T13:20:00,2018-01-16T14:02:00,2018-01-16T17:05:00,2018-01-16T17:48:00,42,1
90977,ROV,307,16/1/2018,UO1182,2018-01-16T05:55:00,2018-01-16T06:38:00,2018-01-16T11:30:00,2018-01-16T12:00:00,43,1
91031,FAO,229,16/1/2018,UO1204,2018-01-16T07:55:00,2018-01-16T08:09:00,2018-01-16T12:55:00,2018-01-16T13:36:00,14,1
91101,DGK,257,16/1/2018,UO1585,2018-01-16T13:00:00,2018-01-16T13:05:00,2018-01-16T15:45:00,2018-01-16T15:45:00,5,1
91133,PHR,285,16/1/2018,UO1586,2018-01-16T23:40:00,2018-01-16T23:59:00,2018-01-17T01:50:00,2018-01-17T02:13:00,19,1
91195,FAH,227,16/1/2018,UO1703,2018-01-16T04:05:00,2018-01-16T04:06:00,2018-01-16T06:55:00,2018-01-16T07:10:00,1,1
91280,FAS,228,16/1/2018,UO1917,2018-01-16T01:30:00,2018-01-16T01:38:00,2018-01-16T05:10:00,2018-01-16T05:16:00,8,1
91329,EFK,264,16/1/2018,UO1979,2018-01-16T05:00:00,2018-01-16T05:06:00,2018-01-16T09:05:00,2018-01-16T09:06:00,6,1
91410,PEC,286,16/1/2018,UO2177,2018-01-16T06:55:00,2018-01-16T07:13:00,2018-01-16T10:30:00,2018-01-16T10:40:00,18,1
91436,PDD,277,16/1/2018,UO2178,2018-01-16T11:15:00,2018-01-16T11:16:00,2018-01-16T15:45:00,2018-01-16T15:23:00,1,1
89933,FRB,238,17/1/2018,UO559,2018-01-17T12:30:00,2018-01-17T12:58:00,2018-01-17T14:45:00,2018-01-17T15:06:00,28,1
89991,RAG,296,17/1/2018,UO729,2018-01-17T23:40:00,2018-01-17T23:41:00,2018-01-18T02:55:00,2018-01-18T02:54:00,1,1
90078,SGK,309,17/1/2018,UO891,2018-01-17T08:35:00,2018-01-17T08:41:00,2018-01-17T10:35:00,2018-01-17T10:31:00,6,1
90185,FFO,266,17/1/2018,UO933,2018-01-17T23:45:00,2018-01-17T23:53:00,2018-01-18T03:00:00,2018-01-18T03:12:00,8,1
90203,FFL,265,17/1/2018,UO934,2018-01-17T03:45:00,2018-01-17T03:46:00,2018-01-17T07:45:00,2018-01-17T07:50:00,1,1
90397,PHC,278,17/1/2018,UO956,2018-01-17T14:55:00,2018-01-17T15:08:00,2018-01-17T20:05:00,2018-01-17T20:09:00,13,1
90427,FRO,245,17/1/2018,UO957,2018-01-17T15:50:00,2018-01-17T15:56:00,2018-01-17T19:45:00,2018-01-17T19:37:00,6,1
90489,RAT,299,17/1/2018,UO959,2018-01-17T07:50:00,2018-01-17T07:51:00,2018-01-17T12:05:00,2018-01-17T11:34:00,1,1
90520,PHO,283,17/1/2018,UO960,2018-01-17T13:05:00,2018-01-17T13:20:00,2018-01-17T16:55:00,2018-01-17T17:12:00,15,1
90555,FRO,245,17/1/2018,UO971,2018-01-17T05:05:00,2018-01-17T05:08:00,2018-01-17T08:20:00,2018-01-17T08:21:00,3,1
90639,TTS,324,17/1/2018,UO1010,2018-01-17T22:30:00,2018-01-17T22:36:00,2018-01-18T01:45:00,2018-01-18T01:46:00,6,1
90657,GSS,185,17/1/2018,UO1019,2018-01-17T01:15:00,2018-01-17T01:26:00,2018-01-17T04:50:00,2018-01-17T04:43:00,11,1
90720,FCO,232,17/1/2018,UO1039,2018-01-17T23:30:00,2018-01-17T23:46:00,2018-01-18T02:10:00,2018-01-18T02:16:00,16,1
90883,PHC,278,17/1/2018,UO1097,2018-01-17T18:05:00,2018-01-17T18:31:00,2018-01-17T21:25:00,2018-01-17T21:46:00,26,1
90871,FTW,255,17/1/2018,UO1098,2018-01-17T13:20:00,2018-01-17T13:57:00,2018-01-17T17:05:00,2018-01-17T17:46:00,37,1
90973,PDD,277,17/1/2018,UO1182,2018-01-17T05:55:00,2018-01-17T06:40:00,2018-01-17T10:55:00,2018-01-17T12:38:00,45,1
